2023/12/13
11:19:31.92
2e-05
N,mm,ms
28.583,0.0,0.0
42.292,0.14999999999999858,0.020000000000038654
52.792,0.30399999999999494,0.040000000000020464
66.792,0.38299999999999557,0.060000000000002274
83.417,0.4579999999999984,0.08000000000004093
102.08,0.4959999999999951,0.10000000000002274
121.63,0.5159999999999982,0.12000000000000455
164.79,0.5659999999999954,0.160000000000025
182.58,0.6499999999999986,0.18000000000000682
200.96,0.7539999999999978,0.20000000000004547
223.71,0.8119999999999976,0.22000000000002728
244.71,0.8539999999999992,0.2400000000000091
260.75,0.8789999999999978,0.26000000000004775
265.71,0.8909999999999982,0.28000000000002956
265.42,0.9919999999999973,0.30000000000001137
275.33,1.0459999999999994,0.3199999999999932
301.88,1.1579999999999941,0.34000000000003183
349.71,1.2539999999999978,0.36000000000001364
360.5,1.320999999999998,0.37999999999999545
352.92,1.3709999999999951,0.4000000000000341
350.29,1.4959999999999951,0.4200000000000159
331.04,1.5499999999999972,0.4399999999999977
335.13,1.5670000000000002,0.4800000000000182
350.58,1.5829999999999984,0.5200000000000387
342.13,1.661999999999999,0.5400000000000205
343.88,1.7959999999999994,0.5600000000000023
312.38,1.8959999999999937,0.5800000000000409
285.54,2.053999999999995,0.6000000000000227
286.42,2.0829999999999984,0.6200000000000045
359.63,2.1459999999999937,0.7000000000000455
354.38,2.266999999999996,0.7200000000000273
353.79,2.357999999999997,0.7400000000000091
350.58,2.4499999999999957,0.7600000000000477
344.46,2.5419999999999945,0.7800000000000296
365.17,2.567,0.8000000000000114
406.29,2.5919999999999987,0.8199999999999932
423.21,2.5959999999999965,0.8400000000000318
388.5,2.641999999999996,0.9399999999999977
421.17,2.7040000000000006,0.9600000000000364
425.54,2.7919999999999945,0.9800000000000182
402.5,2.924999999999997,1.0
410.08,2.9540000000000006,1.0200000000000387
420.88,3.0209999999999937,1.0400000000000205
400.46,3.0459999999999994,1.0600000000000023
403.08,3.1169999999999973,1.080000000000041
421.75,3.1629999999999967,1.1000000000000227
413.29,3.2040000000000006,1.1200000000000045
413.88,3.228999999999999,1.1800000000000068
394.92,3.3249999999999957,1.2000000000000455
379.75,3.428999999999995,1.2200000000000273
375.08,3.5249999999999986,1.240000000000009
348.54,3.6499999999999986,1.2600000000000477
312.38,3.6669999999999945,1.2800000000000296
305.38,3.7079999999999984,1.3000000000000114
301.29,3.7079999999999984,1.3199999999999932
303.33,3.803999999999995,1.3400000000000318
297.21,3.887999999999998,1.3600000000000136
295.46,3.9499999999999957,1.3799999999999955
281.46,3.9579999999999984,1.400000000000034
299.83,3.9669999999999987,1.4399999999999977
334.54,3.995999999999995,1.4800000000000182
333.38,4.0419999999999945,1.5
332.21,4.091999999999999,1.5200000000000387
311.79,4.137999999999998,1.5400000000000205
305.08,4.178999999999995,1.5600000000000023
312.38,4.287999999999997,1.580000000000041
305.67,4.412999999999997,1.6000000000000227
282.63,4.462999999999994,1.6200000000000045
281.75,4.495999999999995,1.6400000000000432
282.92,4.574999999999996,1.660000000000025
291.96,4.6129999999999995,1.6800000000000068
304.79,4.699999999999996,1.7000000000000455
325.5,4.7919999999999945,1.7200000000000273
352.92,5.003999999999998,1.740000000000009
352.92,5.091999999999999,1.7600000000000477
357.0,5.1129999999999995,1.7800000000000296
310.92,5.199999999999996,1.8799999999999955
321.71,5.233999999999995,1.900000000000034
326.38,5.312999999999995,1.920000000000016
273.29,5.312999999999995,1.9600000000000364
236.25,5.312999999999995,2.0
262.5,5.387999999999998,2.0200000000000387
279.13,5.495999999999995,2.0400000000000205
287.88,5.5,2.0600000000000023
293.13,5.516999999999996,2.080000000000041
276.79,5.5589999999999975,2.1000000000000227
255.5,5.5589999999999975,2.1200000000000045
259.88,5.599999999999994,2.140000000000043
274.46,5.634,2.160000000000025
289.63,5.712999999999994,2.180000000000007
308.58,5.716999999999999,2.2200000000000273
315.0,5.759,2.240000000000009
310.63,5.849999999999994,2.2600000000000477
316.17,5.920999999999999,2.2800000000000296
343.88,5.983999999999995,2.3000000000000114
368.08,6.055,2.319999999999993
386.75,6.079999999999998,2.340000000000032
402.5,6.145999999999994,2.3600000000000136
405.13,6.212999999999994,2.400000000000034
394.92,6.259,2.420000000000016
383.83,6.3089999999999975,2.4399999999999977
368.08,6.3089999999999975,2.4600000000000364
351.17,6.4339999999999975,2.480000000000018
349.13,6.549999999999997,2.5
353.21,6.649999999999999,2.5200000000000387
350.88,6.7549999999999955,2.5400000000000205
347.38,6.759,2.5600000000000023
337.75,6.795999999999999,2.580000000000041
276.79,6.958999999999996,2.660000000000025
263.96,7.062999999999995,2.680000000000007
264.54,7.141999999999996,2.7000000000000455
299.25,7.229999999999997,2.7200000000000273
325.5,7.266999999999996,2.740000000000009
346.21,7.283999999999999,2.7600000000000477
347.96,7.3089999999999975,2.7800000000000296
347.38,7.391999999999996,2.8000000000000114
332.21,7.449999999999996,2.819999999999993
315.29,7.5049999999999955,2.840000000000032
378.29,7.574999999999996,2.8799999999999955
396.08,7.591999999999999,2.900000000000034
395.21,7.645999999999994,2.920000000000016
396.08,7.662999999999997,2.9399999999999977
385.88,7.6669999999999945,2.9600000000000364
369.83,7.7010000000000005,2.980000000000018
417.67,7.800999999999995,3.0600000000000023
436.92,7.895999999999994,3.080000000000041
437.5,7.895999999999994,3.1000000000000227
422.63,7.900999999999996,3.1200000000000045
428.17,7.937999999999995,3.140000000000043
422.04,7.962999999999994,3.160000000000025
399.88,8.020999999999994,3.180000000000007
382.67,8.091999999999999,3.2000000000000455
401.92,8.145999999999994,3.2200000000000273
406.29,8.212999999999994,3.240000000000009
402.79,8.220999999999997,3.2600000000000477
417.08,8.275999999999996,3.2800000000000296
409.5,8.329999999999998,3.3000000000000114
413.29,8.475999999999999,3.319999999999993
426.71,8.608999999999995,3.340000000000032
423.5,8.762999999999998,3.3600000000000136
396.96,8.837999999999994,3.3799999999999955
401.63,8.916999999999994,3.400000000000034
400.75,8.954999999999998,3.420000000000016
440.42,8.966999999999999,3.5
